,"Q34_Are you doing other things at home to learn, aside from radio lessons?",Q35_What are you doing?
1525,Yes,"Read,woke in the market and sometimes play football"
1526,Yes,Read my books
1527,Yes,Read and play soccer 
1528,Yes,Reading  from my text books
1529,Yes,"Read, play volleyball and collect firewood"
1530,Yes,Read and play soccer
1531,Yes,Reading
1532,Yes,Revise my subjects
1533,,
1534,Yes,Readings if no radio lesson
1535,Yes,Play valley ball sewing
1536,Yes,"Reading,playing valley ball"
1537,Yes,"Playing foot ball,reading"
1538,Yes,"Reading with friends,playing foot ball"
1539,Yes,"Reading with friends,playing foot ball"
1540,Yes,Reading at home
1541,Yes,Reading
1542,,
1543,,
1544,,
1545,,
1546,,
1547,,
1548,,
1549,,
1550,,
1551,,
1552,,
1553,,
1554,,
1555,Yes,Reading textbook
1556,Yes,Reading textbooks
1557,Yes,Reading textbooks
1558,,
1559,No,
1560,Yes,Studies 
1561,No,
1562,Yes,Reading our books at home 
1563,,
1564,Yes,Reading the exercise books
1565,No,
1566,,
1567,No,
1568,,
1569,No,
1570,,
1571,No,
1572,No,
1573,,
1574,,
1575,,
1576,,
1577,No,
1578,Yes,Studies 
1579,No,
1580,,
1581,Yes,Studies 
1582,Yes,Studies 
1583,Yes,Studies 
1584,,
1585,,
1586,Yes,Studies 
1587,,
1588,,
1589,,
1590,No,
1591,No,
1592,,
1593,,
1594,Yes,Studies 
1595,,
1596,Yes,Studies 
1597,,
1598,,
1599,Yes,Studies 
1600,Yes,Studies 
1601,,
1602,,
1603,Yes,Studies 
1604,,
1605,Yes,Studies 
1606,Yes,Studies 
1607,No,
1608,No,
1609,,
1610,Yes,"home work,  "
1611,Yes,home work 
1612,Yes,I used  to read .
1613,Yes,Domestic work
1614,Yes,Revised 
1615,Yes,Revised my text books 
1616,Yes,Revise them 
1617,Yes,Revised textbooks
1618,Yes,Reading books 
1619,No,
1620,Yes,"Reading ,reviving "
1621,Yes,Reading 
1622,No,
1623,Yes,Reading 
1624,Yes,"Reading ,practice "
1625,,
1626,,
1627,,
1628,,
1629,Yes,Reading books
1630,Yes,Reading school books
1631,,
1632,,
1633,,
1634,,
1635,Yes,Self reading
1636,,
1637,No,
1638,Yes,Personal studies
1639,,
1640,No,
1641,,
1642,,
1643,,
1644,,
1645,,
1646,,
1647,,
1648,,
1649,,
1650,,
1651,Yes,Domestic work
1652,No,
1653,,
1654,No,
1655,,
1656,No,
1657,No,
1658,No,
1659,,
1660,No,
1661,,
1662,No,
1663,,
1664,No,
1665,,
1666,,
1667,No,
1668,,
1669,,
1670,,
1671,No,
1672,,
1673,No,
1674,,
1675,No,
1676,,
1677,No,
1678,No,
1679,No,
1680,No,
1681,,
1682,Yes,I just revise my notes from school.
1683,No,
1684,,
1685,Yes,Studying on my own 
1686,,
1687,,
1688,,
1689,,
1690,,
1691,,
1692,Yes,Reading my books 
1693,No,
1694,,
1695,,
1696,,
1697,,
1698,Yes,Read my books
1699,Yes,"Read,talk with family and play with friends"
1700,,
1701,,
1702,,
1703,,
1704,Yes,Collect water from borehole and sometimes read my books
1705,Yes,"Read,cook and fetch water"
1706,Yes,"Read, cook,make tea and do house work"
1707,,
1708,Yes,Play with friends and read sometimes
1709,,
1710,Yes,Play football and sometimes read my books
1711,Yes,Read and fetch water
1712,Yes,Spent time with my friends
1713,Yes,I read my books
1714,Yes,Play football and read my books
1715,,
1716,,
1717,,
1718,,
1719,,
1720,,
1721,No,
1722,,
1723,Yes,Revising the previous things learned in the school
1724,No,
1725,Yes,Reading
1726,,
1727,,
1728,,
1729,,
1730,,
1731,,
1732,,
1733,,
1734,,
1735,,
1736,,
1737,,
1738,,
1739,,
1740,,
1741,,
1742,,
1743,,
1744,,
1745,,
1746,,
1747,,
1748,,
1749,,
1750,,
1751,,
1752,,
1753,,
1754,,
1755,,
1756,,
1757,,
1758,,
1759,,
1760,,
1761,,
1762,,
1763,,
1764,,
1765,,
1766,,
1767,,
1768,,
1769,,
1770,,
1771,,
1772,,
1773,,
1774,,
1775,,
1776,,
1777,,
1778,,
1779,,
1780,Yes,Studying
1781,,
1782,Yes,Studying
1783,,
1784,Yes,Studying
1785,No,
1786,,
1787,Yes,Studying
1788,,
1789,No,
1790,No,
1791,,
1792,,
1793,No,
1794,Yes,Studying
1795,,
